time,theta,theta_dot,tau
0.0,0.0,0.0,-0.1756438336136925
0.02,-3.500084929493796e-05,-0.0034930940509218644,-0.1756438336136925
0.04,-0.00013940138492036643,-0.006937826302532617,-0.1756438336136925
0.06,-0.00031210180813993004,-0.0103211731796685,-0.1756438336136925
0.08,-0.0005517518292103272,-0.013630536534434301,-0.1756438336136925
0.1,-0.000856751960439771,-0.01685376787939359,-0.1756438336136925
0.12,-0.0012252596434918076,-0.019979336362113263,-0.1756438336136925
0.14,-0.0016552078157957167,-0.02299693771260243,-0.1756438336136925
0.16,-0.002144260740023207,-0.025895338305737862,-0.1756438336136925
0.18,-0.002689907356585657,-0.028663803875338366,-0.1756438336136925
0.2,-0.003289475344308508,-0.031292417793977685,-0.1756438336136925
0.22,-0.0039401311204312625,-0.03377208107298452,-0.1756438336136925
0.24,-0.004638879840607487,-0.0360945123624425,-0.1756438336136925
0.26,-0.005382565398904813,-0.03825224795119024,-0.1756438336136925
0.28,-0.006167870427804924,-0.04023864176682128,-0.1756438336136925
0.3,-0.006991316298203579,-0.04204786537568411,-0.1756438336136925
0.32,-0.007849263119410595,-0.04367490798288218,-0.1756438336136925
0.34,-0.008737909739149848,-0.04511557643227387,-0.1756438336136925
0.36,-0.00965329374355928,-0.04636649520647252,-0.1756438336136925
0.38,-0.010591533015554678,-0.047424607480261685,-0.1756438336136925
0.4,-0.011549262856943313,-0.046941478864122005,0.6310000289738826
0.42,-0.01233880405280033,-0.031617478158399694,0.6310000289738826
0.44,-0.01281777781401422,-0.016284711197579235,0.6310000289738826
0.46,-0.012991228374195295,-0.0010380481975516415,0.6310000289738826
0.48,-0.01286143365401036,0.01406192972137739,0.6310000289738826
0.5,-0.012431726160707306,0.028955981883855945,0.6310000289738826
0.52,-0.011706565361745316,0.04358714251014959,0.6310000289738826
0.54,-0.010691537684794855,0.057900720716141586,0.6310000289738826
0.56,-0.009393356517737685,0.07184430051333271,0.6310000289738826
0.58,-0.007819862208666862,0.08536774080884132,0.6310000289738826
0.6,-0.0059800220658867,0.09842317540540371,0.6310000289738826
0.62,-0.0038839303579128355,0.11096501300137337,0.6310000289738826
0.64,-0.0015428083134721837,0.12294993719072159,0.6310000289738826
0.66,0.001031255109212333,0.13433679657002537,0.6310000289738826
0.68,0.0038266121184624942,0.14508627271268987,0.6310000289738826
0.7000000000000001,0.006830245147530319,0.1551623863204959,0.6310000289738826
0.72,0.010028368949609196,0.16453246840721325,0.6310000289738826
0.74,0.013406602360564823,0.17316708833497138,0.6310000289738826
0.76,0.01695034950586294,0.18107368099554638,0.6310000289738826
0.78,0.020656434214130645,0.18897916538387294,0.6310000289738826
0.8,0.02449571459958986,0.195140808563213,0.3247915185359671
0.8200000000000001,0.028421194728358065,0.19795753904824293,0.3247915185359671
0.84,0.03238003428149372,0.1973181703343972,0.3247915185359671
0.86,0.0363135485549963,0.1946014008978682,0.3247915185359671
0.88,0.040177584158916424,0.19162556750211876,0.3247915185359671
0.9,0.043974782321264026,0.18796871891205078,0.3247915185359671
0.92,0.04769177833956871,0.18361535205589347,0.3247915185359671
0.9400000000000001,0.051314876388166106,0.17858943113784903,0.3247915185359671
0.96,0.05483093374626559,0.17291729879335277,0.3247915185359671
0.98,0.0582273608574789,0.16662767746131205,0.3247915185359671
1.0,0.06150283403634948,0.15998066244357237,0.3247915185359671
1.02,0.0646515923537224,0.15306196075649603,0.3247915185359671
1.04,0.06765558761457213,0.14567267776760723,0.3247915185359671
1.06,0.07049760227402598,0.13765192833369386,0.3247915185359671
1.08,0.07316124943736409,0.12887683680080741,0.3247915185359671
1.1,0.07563097286001949,0.11926253700426312,0.3247915185359671
1.12,0.07789204694757804,0.1087621722686397,0.3247915185359671
1.1400000000000001,0.07993057675577843,0.09736689540777962,0.3247915185359671
1.16,0.0817334979905122,0.08510586872478915,0.3247915185359671
1.18,0.08328857700782383,0.07204626401203763,0.3247915185359671
1.2,0.08458441081391052,0.05829326255115866,0.13812187787585123
1.22,0.08561042706512241,0.04399005511304917,0.13812187787585123
1.24,0.08635688406796244,0.029317841957869767,0.13812187787585123
1.26,0.0868148707790864,0.014495832835044825,0.13812187787585123
1.28,0.08697630680530295,-0.00021875301673782155,0.13812187787585123
1.3,0.0868345478966533,-0.014541652568378114,0.13812187787585123
1.32,0.08640411148443278,-0.028548349780421745,0.13812187787585123
1.34,0.08569696902271914,-0.04231018722791878,0.13812187787585123
1.36,0.08471830569100718,-0.05577211059682014,0.13812187787585123
1.3800000000000001,0.08347424677985474,-0.06888194180863585,0.13812187787585123
1.4000000000000001,0.08197185769088275,-0.08159037902043499,0.13812187787585123
1.42,0.0802191439367752,-0.09385099662484565,0.13812187787585123
1.44,0.07822505114127914,-0.1056202452500554,0.13812187787585123
1.46,0.07599946503920472,-0.11685745175981044,0.13812187787585123
1.48,0.07355321147642516,-0.12752481925341627,0.13812187787585123
1.5,0.07089805640987672,-0.13758742706573748,0.13812187787585123
1.52,0.06804670590755876,-0.14701323076719772,0.13812187787585123
1.54,0.06501280614853372,-0.15577306216377973,0.13812187787585123
1.56,0.0618109434229271,-0.16384062929702534,0.13812187787585123
1.58,0.05845664413192747,-0.17119251644403552,0.13812187787585123
1.6,0.05495063577516172,-0.17984068503787246,-0.48157390338058886
1.62,0.05121458421397747,-0.1941103023500216,-0.48157390338058886
1.6400000000000001,0.04717961605833209,-0.21123199385227048,-0.48157390338058886
1.6600000000000001,0.042805907739851004,-0.22878006129342798,-0.48157390338058886
1.68,0.03808133801557404,-0.2451525683915949,-0.48157390338058886
