time,theta,theta_dot,tau
0.0,0.1,0.0,0.0
0.02,0.09980483977181112,-0.019477075380626242,0.0
0.04,0.0992227120464849,-0.038684875084127615,0.0
0.06,0.0982597381997704,-0.05755113419372876,0.0
0.08,0.09692342917298392,-0.07600592600016298,0.0
0.1,0.09522267822718622,-0.09398179871424243,0.0
0.12,0.09316773722755992,-0.1114145973331863,0.0
0.14,0.09077011669747352,-0.12824797500273982,0.0
0.16,0.08804280771520676,-0.14441953264320773,0.0
0.18,0.0849997803673998,-0.15986900238441631,0.0
0.2,0.08165589381838854,-0.1745406955079004,0.0
0.22,0.07802689631020471,-0.18838350244690333,0.0
0.24,0.07412942516257576,-0.20135089278637686,0.0
0.26,0.0699810067729249,-0.21340091526298136,0.0
0.28,0.06560005661637115,-0.22449619776508561,0.0
0.3,0.061005879245729255,-0.2346039473327669,0.0
0.32,0.056218668291509725,-0.24369595015781115,0.0
0.34,0.051259506461918854,-0.25174857158371267,0.0
0.36,0.046150365542858715,-0.2587427561056741,0.0
0.38,0.04091370464050818,-0.26466405247021435,0.0
0.4,0.03556827343349002,-0.2695010707483132,0.0
0.42,0.030136190318694564,-0.2732431249128657,0.0
0.44,0.02464057824286571,-0.27588371191304156,0.0
0.46,0.01910413969382563,-0.27742102529138335,0.0
0.48,0.013549156700474765,-0.2778579551838062,0.0
0.5,0.007997490832791741,-0.27720208831959803,0.0
0.52,0.0024705832018335067,-0.2754657080214195,0.0
0.54,-0.0030105455402647807,-0.27266579420530396,0.0
0.56,-0.008425295200289694,-0.2688240233806575,0.0
0.58,-0.013753486043949548,-0.263966768650259,0.0
0.6,-0.018975358795874468,-0.2581250997102599,0.0
0.62,-0.024071574639616233,-0.25133478285018446,0.0
0.64,-0.02902321521764846,-0.24363628095292972,0.0
0.66,-0.03381215626894661,-0.2350733399158714,0.0
0.68,-0.03842378299928637,-0.22567996129424547,0.0
0.7000000000000001,-0.042841197363854625,-0.21549994544364162,0.0
0.72,-0.04704783814087438,-0.20458191144723933,0.0
0.74,-0.05102848550617727,-0.19297604475501415,0.0
0.76,-0.054769261033203356,-0.1807340971837381,0.0
0.78,-0.05825762769300131,-0.1679093869169794,0.0
0.8,-0.06148238985422828,-0.1545567985051025,0.0
0.8200000000000001,-0.06443369328314996,-0.1407327828652683,0.0
0.84,-0.06710302514364062,-0.12649535728143377,0.0
0.86,-0.06948321399718303,-0.11190410540435217,0.0
0.88,-0.07156842980286851,-0.09702017725157305,0.0
0.9,-0.0733541839173969,-0.08190628920744225,0.0
0.92,-0.07483732909507654,-0.06662672402310199,0.0
0.9400000000000001,-0.07601606449460982,-0.05124491433173135,0.0
