time,theta,theta_dot,tau
0.0,0.1,0.0,0.0
0.02,0.09980484158627252,-0.019477025238252878,0.0
0.04,0.09922271567802278,-0.038684606178215494,0.0
0.06,0.09825973358742643,-0.05755081694758143,0.0
0.08,0.09692342531066717,-0.07600575636314777,0.0
0.1,0.09522269657782743,-0.09398179209052798,0.0
0.12,0.09316778111773229,-0.11141379473413247,0.0
0.14,0.09077018834668632,-0.12823936125699725,0.0
0.16,0.08804264670058591,-0.1443990271211993,0.0
0.18,0.08499904284215698,-0.15983646653126204,0.0
0.2,0.08165435698749933,-0.17449868015539632,0.0
0.22,0.07802459460867461,-0.18833616969477074,0.0
0.24,0.07412671478167826,-0.20130309867127616,0.0
0.26,0.06997855546166866,-0.21335743881129404,0.0
0.28,0.06559875597963766,-0.22446110141840314,0.0
0.3,0.06100667706661348,-0.23458005315307395,0.0
0.32,0.05622231872278712,-0.24368441567317253,0.0
0.34,0.05126623625942553,-0.25174854863611085,0.0
0.36,0.04615945485085251,-0.25875111562193653,0.0
0.38,0.04092338294191409,-0.2646751326063321,0.0
0.4,0.035579724862979986,-0.2695079986927897,0.0
0.42,0.03015039300946251,-0.2732415089031601,0.0
0.44,0.024657419945881158,-0.2758718489240201,0.0
0.46,0.01912287079551204,-0.2773995718112538,0.0
0.48,0.01356875627552185,-0.27782955676504945,0.0
0.5,0.008016946734118572,-0.27717095020015137,0.0
0.52,0.002489087540620565,-0.27543708944955436,0.0
0.54,-0.002993483828993844,-0.2726454095549571,0.0
0.56,-0.008409818675760166,-0.2688173336845851,0.0
0.58,-0.0137394356147583,-0.26397814787845947,0.0
0.6,-0.018962396454526912,-0.2581568608373861,0.0
0.62,-0.02405937912933006,-0.2513860496138649,0.0
0.64,-0.029011747412786594,-0.24370169212959894,0.0
0.66,-0.03380161715793448,-0.2351429874958595,0.0
0.68,-0.03841191883034253,-0.2257521651741947,0.0
0.7000000000000001,-0.04282645612177721,-0.21557428405317763,0.0
0.72,-0.047029960453741346,-0.204657022544349,0.0
0.74,-0.05100814120243745,-0.19305046081577698,0.0
0.76,-0.05474773149913185,-0.18080685628534476,0.0
0.78,-0.058236529482285575,-0.16798041348885578,0.0
0.8,-0.06146343489996783,-0.15462704942143085,0.0
0.8200000000000001,-0.06441848098280113,-0.14080415542573876,0.0
0.84,-0.06709286152885002,-0.12657035666877256,0.0
0.86,-0.0694789531623346,-0.11198527021164231,0.0
0.88,-0.07157033274773361,-0.09710926263571798,0.0
0.9,-0.07336178995967584,-0.08200320814489379,0.0
0.92,-0.0748493350269683,-0.06672824801916931,0.0
0.9400000000000001,-0.07603020168616971,-0.05134555225041864,0.0
0.96,-0.07690284539630178,-0.03591608414827084,0.0
0.98,-0.077466936881639,-0.020500368663375276,0.0
1.0,-0.07772335108408075,-0.0051582651376917855,0.0
1.02,-0.07767415162165148,0.010051254844282494,0.0
1.04,-0.07732257085459862,0.02507032384908893,0.0
1.06,-0.07667298569758037,0.03984238863576499,0.0
1.08,-0.07573088928901404,0.05431241322286383,0.0
1.1,-0.0745028586781803,0.06842707442322833,0.0
1.12,-0.07299651868113853,0.08213494928222378,0.0
1.1400000000000001,-0.07122050207324589,0.09538669387636611,0.0
1.16,-0.06918440629651977,0.10813521294328697,0.0
1.18,-0.06689874687039357,0.1203358198277349,0.0
1.2,-0.06437490770457722,0.13194638624297986,0.0
1.22,-0.06162508852258584,0.1429274813633424,0.0
1.24,-0.0586622496140021,0.15324249978248927,0.0
1.26,-0.055500054142627674,0.1628577778944658,0.0
1.28,-0.05215280824628256,0.1717426982808762,0.0
1.3,-0.04863539917204008,0.179869781718763,0.0
1.32,-0.044963231698040215,0.18721476645999532,0.0
1.34,-0.041152163099600673,0.1937566744746032,0.0
1.36,-0.037218436923034774,0.1994778643975486,0.0
1.3800000000000001,-0.03317861583528049,0.20436407097077858,0.0
